Term	Gene
GO:0004252	Q05319
GO:0005886	Q05319
GO:0006508	Q05319
GO:0007010	Q05319
GO:0035220	Q05319
GO:0051017	Q05319
GO:0000978	F1R2J1
GO:0000981	F1R2J1
GO:0005634	F1R2J1
GO:0006357	F1R2J1
GO:0007399	F1R2J1
GO:0030154	F1R2J1
GO:0045892	F1R2J1
GO:0050767	F1R2J1
GO:0001867	Q17QH6
GO:0003677	Q17QH6
GO:0005509	Q17QH6
GO:0005537	Q17QH6
GO:0005581	Q17QH6
GO:0005615	Q17QH6
GO:0006508	Q17QH6
GO:0019730	Q17QH6
GO:0032502	Q17QH6
GO:0042802	Q17QH6
GO:0042806	Q17QH6
GO:0070492	Q17QH6
GO:0120153	Q17QH6
GO:1903028	Q17QH6
GO:0004994	P34993
GO:0005737	P34993
GO:0005886	P34993
GO:0007218	P34993
GO:0043005	P34993
GO:0071385	P34993
GO:0071392	P34993
GO:0000776	Q19020
GO:0000922	Q19020
GO:0005524	Q19020
GO:0005635	Q19020
GO:0005737	Q19020
GO:0005819	Q19020
GO:0005868	Q19020
GO:0005881	Q19020
GO:0005938	Q19020
GO:0007052	Q19020
GO:0007097	Q19020
GO:0008090	Q19020
GO:0008569	Q19020
GO:0016322	Q19020
GO:0031122	Q19020
GO:0045202	Q19020
GO:0045505	Q19020
GO:0048489	Q19020
GO:0048814	Q19020
GO:0051293	Q19020
GO:0051296	Q19020
GO:0051661	Q19020
GO:0051932	Q19020
GO:0051959	Q19020
GO:1902473	Q19020
GO:1904115	Q19020
GO:1904811	Q19020
GO:1990048	Q19020
GO:0002175	Q16880
GO:0003851	Q16880
GO:0005783	Q16880
GO:0005886	Q16880
GO:0006682	Q16880
GO:0006687	Q16880
GO:0007010	Q16880
GO:0007417	Q16880
GO:0007422	Q16880
GO:0008489	Q16880
GO:0030913	Q16880
GO:0047263	Q16880
GO:0048812	Q16880
GO:0000122	Q7JQF1
GO:0004989	Q7JQF1
GO:0004993	Q7JQF1
GO:0005886	Q7JQF1
GO:0006874	Q7JQF1
GO:0006979	Q7JQF1
GO:0007187	Q7JQF1
GO:0007211	Q7JQF1
GO:0007268	Q7JQF1
GO:0007612	Q7JQF1
GO:0008049	Q7JQF1
GO:0008227	Q7JQF1
GO:0010841	Q7JQF1
GO:0016020	Q7JQF1
GO:0030425	Q7JQF1
GO:0030594	Q7JQF1
GO:0030728	Q7JQF1
GO:0042594	Q7JQF1
GO:0045202	Q7JQF1
GO:0051482	Q7JQF1
GO:0060278	Q7JQF1
GO:0060279	Q7JQF1
GO:0090328	Q7JQF1
GO:1904068	Q7JQF1
GO:1905050	Q7JQF1
GO:0005509	A4FV93
GO:0005886	A4FV93
GO:0007219	A4FV93
GO:0007411	A4FV93
GO:0009986	A4FV93
GO:0042802	A4FV93
GO:0043235	A4FV93
GO:0045598	A4FV93
GO:0045746	A4FV93
GO:0000122	O35750
GO:0000981	O35750
GO:0001649	O35750
GO:0002027	O35750
GO:0002053	O35750
GO:0002062	O35750
GO:0002063	O35750
GO:0003163	O35750
GO:0003170	O35750
GO:0003172	O35750
GO:0003209	O35750
GO:0003213	O35750
GO:0005634	O35750
GO:0006357	O35750
GO:0007224	O35750
GO:0010463	O35750
GO:0030326	O35750
GO:0032330	O35750
GO:0035115	O35750
GO:0043565	O35750
GO:0045880	O35750
GO:0045944	O35750
GO:0048557	O35750
GO:0048598	O35750
GO:0048743	O35750
GO:0050772	O35750
GO:0060272	O35750
GO:0060351	O35750
GO:0060415	O35750
GO:0060920	O35750
GO:0060931	O35750
GO:0072089	O35750
GO:1990837	O35750
GO:2000172	O35750
GO:2000648	O35750
GO:0005044	A7E3W2
GO:0005615	A7E3W2
GO:0007155	A7E3W2
GO:0016020	A7E3W2
GO:0005034	Q9VR07
GO:0005328	Q9VR07
GO:0005886	Q9VR07
