OG	Model	mean_expr	species_nr	sigma2	alpha	ovuliparity.sigma2	oviparity.sigma2	hemotrophic_viviparous.sigma2	ovuliparity.alpha	oviparity.alpha	hemotrophic_viviparous.alpha	ovuliparity.theta	oviparity.theta	hemotrophic_viviparous.theta	ovuliparity.theta.se	oviparity.theta.se	hemotrophic_viviparous.theta.se	theta	theta.anc	theta.se	theta.anc.se
OG0000007	OU1	0.648021473142129	35	0.0157303693512093	0.00168238746606767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.93944365964837	NA	0.567551424517793	NA
OG0000023	OU1	-1.149552280991	29	0.0341400306434979	0.00576828632140524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.22163312118818	NA	0.397064377399547	NA
OG0000026	OUM	1.59451668150256	40	2.91493245260198	0.429919027824861	NA	NA	NA	NA	NA	NA	0.161494259884783	3.12594514692408	0.363723072542118	0.514920395546893	0.418108490014626	0.768289535927756	NA	NA	NA	NA
OG0000027	OU1	4.05166737488586	41	0.237638570680521	0.0140569403187111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.96354033921136	NA	0.519067643025329	NA
OG0000031	OUM	0.552729717361836	40	0.0959754116012774	0.0118894756978759	NA	NA	NA	NA	NA	NA	-0.301688867436123	1.5478291022689	-1.72394293755688	0.569142696395581	0.594514947311982	1.51935820627101	NA	NA	NA	NA
OG0000038	OU1	1.85221110716272	43	0.0491128093340111	0.0131503580150528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.81430258902425	NA	0.244029195703507	NA
OG0000039	OUM	4.19694189606536	39	1.7419191779758	0.204322376632888	NA	NA	NA	NA	NA	NA	5.76982365774286	4.6638246019961	0.606937181566649	0.568196046328555	0.485204257834627	1.01276010260299	NA	NA	NA	NA
OG0000041	OU1	1.47279938471057	42	0.034823902523181	0.004018942708618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04945718479918	NA	0.452083450216473	NA
OG0000045	OU1	0.513774223585188	40	0.0339836504170244	0.00454028896145601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.914700231501422	NA	0.420830653292205	NA
OG0000052	BMS	-1.04996335546315	34	NA	NA	0.00172758940747071	0.0189532783144382	1e-09	NA	NA	NA	-5.34821308184449e-08	-3.51297667925713e-09	-9.87921363895772e-10	3.81484445358767e-08	2.50578265962154e-09	7.04677670460127e-10	NA	-0.72792185569231	NA	0.519221768343486
OG0000061	OUM	0.018660111662132	37	1.98709750915037	0.430181882369375	NA	NA	NA	NA	NA	NA	1.4452460998397	-0.69479572564625	-1.11013549076963	0.397005309851488	0.407825779357906	1.05839310491877	NA	NA	NA	NA
OG0000063	OU1	3.72221580354487	41	0.0351861704107481	0.00360451017480614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.30883971643808	NA	0.492156206539823	NA
OG0000065	OU1	1.05944122158685	40	0.0364324594530084	0.00359750264179265	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.33434829339845	NA	0.502647665356385	NA
OG0000066	BM1	3.07963024856962	40	0.00611408201035751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.00878519071336e-07	2.11897161967915	1.02031392639737e-07	1.07628046203966
OG0000074	OU1	-0.119298792488472	37	0.0321629446063261	0.00344401160884057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.197199370892055	NA	0.483295142263465	NA
OG0000076	OUM	1.03312964576017	25	0.0524139051536482	0.0186389114476926	NA	NA	NA	NA	NA	NA	2.56780118892557	-0.867238878763283	-4.29784616564695	0.324603278713204	0.466574603282566	1.27271822836351	NA	NA	NA	NA
OG0000080	BMS	0.967119700796997	40	NA	NA	0.00532532075958843	0.0469407800390394	0.0564156437226809	NA	NA	NA	-13992956.5602027	13736344.3452212	256612.215968879	21687494.6318245	21289774.8210805	397719.812274261	NA	1.31537636601268	NA	2.1885105453498
OG0000081	BMS	4.68545369177121	43	NA	NA	0.00650128878696243	0.00272506606237731	0.0776055314234843	NA	NA	NA	11932927.1746485	-11951260.0904087	18332.913717699	8037163.73345532	8049511.4703955	12347.7355642881	NA	4.32436575977263	NA	1.1358045708335
