OG	Model	aic.weight	Tree_size	Mean_trait	Perm_test
NA	NA	NA	NA	NA	NA
OG0000001	fitWhite	0.778796491424075	17	-1.20811337621872	0.501992031872523
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000006	fitWhite	0.779233236589112	21	0.101425831347972	0.5577689243028
OG0000007	fitOU1	0.541226681379452	32	0.821715476002776	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000010	fitWhite	0.539341796595706	24	-1.27690923342775	0.533864541832682
OG0000011	fitWhite	0.779092255266769	18	-1.0565408655929	0.56175298804782
NA	NA	NA	NA	NA	NA
OG0000013	fitWhite	0.591380235350364	16	-1.10042119423219	0.593625498007979
OG0000014	fitWhite	0.665895930192022	23	-0.0995765785687521	0.577689243027899
OG0000015	fitWhite	0.73783962987545	20	-1.44991124865435	0.56573705179284
OG0000016	fitOU1	0.949686508334021	17	-0.368527623411335	0.330677290836671
NA	NA	NA	NA	NA	NA
OG0000018	fitOUM	0.445171947660933	30	-0.0271363743111056	0.00398406374504612
OG0000019	fitWhite	0.6283636420424	23	-0.864861949874261	0.537848605577701
OG0000020	fitWhite	0.49520099117713	42	1.25787670592347	0.274900398406394
OG0000021	fitWhite	0.765013631363999	28	-1.38398753951169	0.637450199203197
NA	NA	NA	NA	NA	NA
OG0000023	fitOU1	0.639165327782883	23	-0.808671513682129	0.0159362549801055
OG0000024	fitOUM	0.349908974557396	28	0.0884992373265897	0.0199203187251253
OG0000025	fitWhite	0.786569759282679	19	-0.920630068039895	0.5577689243028
OG0000026	fitOUM	0.891427313462485	38	1.64083844548139	0.00796812749006592
OG0000027	fitOU1	0.588869589652022	39	4.06344065654837	0.00398406374504612
OG0000028	fitWhite	0.620204061667561	20	-1.1378770431399	0.597609561752999
OG0000029	fitOUM	0.328985224433544	39	3.03242725991217	0.00398406374504612
OG0000030	fitWhite	0.632321675512862	19	-0.706003933776914	0.577689243027899
OG0000031	fitOUM	0.547999209955576	37	0.807158804201876	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000034	fitWhite	0.286605966480148	21	0.757492424102491	0.470119521912365
OG0000035	fitWhite	0.739323618187189	29	0.433852798540328	0.498007968127503
OG0000036	fitWhite	0.815039845260779	15	-0.614161751202012	0.458167330677305
OG0000037	fitWhite	0.752531122909299	36	0.823500396324847	0.458167330677305
OG0000038	fitOU1	0.688769494238074	41	1.87700275170584	0.0438247011952443
OG0000039	fitOUM	0.910247555890129	39	4.19694189606536	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000041	fitOU1	0.807079653155465	38	1.38271907845639	0.00398406374504612
OG0000042	fitOU1	0.837612296892439	23	0.191416678295885	0.689243027888454
OG0000043	fitWhite	0.520607785557959	33	0.00681392542011116	0.57370517928288
OG0000044	fitWhite	0.766317058826841	27	-0.059597224502601	0.56972111553786
OG0000045	fitOU1	0.849409728811397	37	0.583122535298221	0.00398406374504612
OG0000046	fitWhite	0.660894172313723	40	2.46481352683306	0.517928286852602
NA	NA	NA	NA	NA	NA
OG0000048	fitWhite	0.637752357930422	28	3.93552260109629	0.478087649402404
OG0000049	fitWhite	0.733732975315851	32	0.0870798484440118	0.517928286852602
NA	NA	NA	NA	NA	NA
OG0000051	fitWhite	0.42595447845024	22	0.172977267862602	0.529880478087662
OG0000052	fitBMS	0.52246706303259	21	-0.72648654340061	0.00398406374504612
OG0000053	fitOUMV	0.357166524178961	36	1.60715244078267	0.0119521912350857
OG0000054	fitOU1	0.431793064987822	40	3.46626106912534	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000056	fitWhite	0.745541552203706	28	-0.980957349239395	0.637450199203197
OG0000057	fitWhite	0.68552486190345	17	-1.31511549377448	0.633466135458177
OG0000058	fitWhite	0.6099320749973	26	-0.195686343326783	0.581673306772919
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000061	fitOUM	0.894612481580162	35	0.0160107683890486	0.00398406374504612
OG0000062	fitOUM	0.496529356889672	34	2.33057480386842	0.00398406374504612
OG0000063	fitOU1	0.82049492405504	41	3.72221580354487	0.00398406374504612
OG0000064	fitWhite	0.450079925378821	15	-0.655420141122928	0.545816733067741
OG0000065	fitOU1	0.673465687764803	39	1.16697962812123	0.00398406374504612
OG0000066	fitBM1	0.570841610025753	39	3.078649012125	0.00398406374504612
OG0000067	fitWhite	0.504905346641438	30	0.250244436841301	0.56175298804782
OG0000068	fitWhite	0.73770304141042	41	3.15552418284412	0.338645418326711
OG0000069	fitOUMVA	0.383744710054008	39	2.40027453359676	0.00398406374504612
OG0000070	fitOU1	0.856727800033139	27	1.28095258047135	0.912350597609564
NA	NA	NA	NA	NA	NA
OG0000072	fitOUM	0.47478716738551	29	2.90409076378838	0.0239043824701451
OG0000073	fitBM1	0.382275163429297	26	-0.0228408530212482	0.00796812749006592
OG0000074	fitOU1	0.635978439255649	34	-0.0787880080493474	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000076	fitOUM	0.789302171803339	23	1.1832949455464	0.00398406374504612
OG0000077	fitOU1	0.397463034709116	40	4.36820985854061	0.00398406374504612
NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA
OG0000080	fitBMS	0.892951456295796	30	1.61292023113123	0.00398406374504612
OG0000081	fitBMS	0.757790271234376	42	4.74924150973021	0.00398406374504612
OG0000082	fitWhite	0.711588994162052	39	2.01513244488325	0.35856573705181
OG0000083	fitBM1	0.520591377525327	18	-0.257349006581107	0.0159362549801055
OG0000084	fitWhite	0.462210731885247	18	0.604108800873018	0.545816733067741
OG0000085	fitBM1	0.377870336807991	32	0.314556204394814	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000087	fitOU1	0.611596149598466	28	0.133620356332518	0.0239043824701451
OG0000088	fitWhite	0.816439481511321	17	-0.0798339580933805	0.553784860557781
OG0000089	fitOUMV	0.8232389034499	41	2.64195876946351	0.00796812749006592
NA	NA	NA	NA	NA	NA
OG0000091	fitOUM	0.676031331816529	40	2.52048538318997	0.00398406374504612
OG0000092	fitOU1	0.701810907911779	35	0.565721682938305	0.00398406374504612
OG0000093	fitWhite	0.684303161811229	20	0.91559185907448	0.533864541832682
NA	NA	NA	NA	NA	NA
OG0000095	fitWhite	0.29907246996753	26	1.04370940673324	0.525896414342642
OG0000096	fitWhite	0.638519780169886	29	0.924722212746212	0.35059760956177
OG0000097	fitOUMA	0.378018744851026	27	1.5762335261372	0.0119521912350857
OG0000098	fitWhite	0.617563519525681	35	3.76397316481445	0.450199203187265
OG0000099	fitOUM	0.604826895129058	36	2.37491975666172	0.00398406374504612
OG0000100	fitBM1	0.704837301066285	21	0.841454614526807	0.00398406374504612
OG0000101	fitBM1	0.691248281901549	15	-0.865137050825354	0.0358565737052046
OG0000102	fitWhite	0.627640924857958	19	-0.972664556596065	0.5577689243028
NA	NA	NA	NA	NA	NA
OG0000104	fitWhite	0.763749296257214	23	0.601576667680782	0.56175298804782
NA	NA	NA	NA	NA	NA
OG0000106	fitOU1	0.661785903251021	26	-0.272839047496279	0.00398406374504612
OG0000107	fitOU1	0.421925167438878	41	2.96370592337277	0.00398406374504612
OG0000108	fitWhite	0.537726672757834	15	-0.106739127607975	0.541832669322721
NA	NA	NA	NA	NA	NA
OG0000110	fitBM1	0.61566428246577	21	0.443776500454911	0.00398406374504612
OG0000111	fitWhite	0.430530976335466	40	2.67136891374988	0.270916334661374
OG0000112	fitOU1	0.782187352049436	29	0.766282814833224	0.00796812749006592
OG0000113	fitWhite	0.777703490700664	22	-1.07536868938773	0.653386454183276
