OG	Model	aic.weight	Tree_size	Mean_trait	Perm_test
OG0000000	fitBMS	0.795291422770462	25	-4.30220966111119	0.0119521912350857
OG0000001	fitOUMA	0.402971542960736	41	-1.92547103163316	0.00398406374504612
OG0000002	fitOU1	0.280831371104965	42	-5.1546248138745	0.0398406374502245
OG0000003	fitOUMV	0.275954433997361	38	-2.41357138367511	0.0199203187251253
OG0000004	fitOUMV	0.693797427817728	39	-1.51685974164255	0.00398406374504612
OG0000005	fitWhite	0.252216269722871	18	-4.48701528714773	0.593625498007979
OG0000006	fitOU1	0.435734824736125	39	-2.64687445336095	0.0159362549801055
OG0000007	fitOU1	0.348294371871233	42	-0.54410862135467	0.00796812749006592
OG0000008	fitWhite	0.481862749915759	20	-3.8991977480707	0.509960159362563
OG0000009	fitWhite	0.459666586042725	19	-3.72174526565902	0.601593625498018
OG0000010	fitBMS	0.313946815688964	38	-1.46219812340819	0.00398406374504612
OG0000011	fitBMS	0.507422601566564	32	-2.23415211144908	0.00398406374504612
OG0000012	fitBMS	0.970172553128927	38	-3.65504079663897	0.00398406374504612
OG0000013	fitBMS	0.615408530791423	37	-1.23134487048182	0.00796812749006592
OG0000014	fitOU1	0.599158261539593	33	-1.18765375668038	0.027888446215165
OG0000015	fitOUMV	0.991449508417976	42	-4.90762876441464	0.00796812749006592
OG0000016	fitBMS	0.673861493455971	33	-2.59911915334483	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000018	fitWhite	0.574241791216557	42	-0.728364950991104	0.517928286852602
OG0000019	fitOUM	0.900424531268662	36	-0.777827825457205	0.00796812749006592
OG0000020	fitOUM	0.47656396463783	40	-0.0764672340113697	0.0318725099601848
OG0000021	fitOU1	0.354235931375493	43	-4.15139048716524	0.0199203187251253
OG0000022	fitOUMV	0.384818279882953	40	-5.03795371111508	0.0239043824701451
OG0000023	fitWhite	0.503697577280735	36	-2.9197917430596	0.57370517928288
OG0000024	fitWhite	0.628085862608487	36	-0.87372343398464	0.486055776892444
OG0000025	fitWhite	0.63601281970871	35	-2.74932066842355	0.509960159362563
OG0000026	fitWhite	0.302029873200764	40	-0.205835355199528	0.537848605577701
OG0000027	fitWhite	0.675504464490621	38	-1.99627182919162	0.513944223107582
OG0000028	fitWhite	0.322564129186979	34	-2.23751246327455	0.474103585657384
OG0000029	fitWhite	0.65657710801252	41	-1.31781520942543	0.490039840637464
OG0000030	fitOU1	0.537838967666363	36	-2.08465004678894	0.0358565737052046
OG0000031	fitOUMV	0.430280145567678	39	-1.21321430491329	0.00398406374504612
OG0000032	fitBMS	0.874004439907023	31	-1.82109302920844	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000034	fitOUMV	0.708297793013134	35	-0.382202107269024	0.00398406374504612
OG0000035	fitOUMV	0.86037556384944	34	-0.836472561764014	0.0239043824701451
OG0000036	fitWhite	0.784114935761324	21	-2.56882155523047	0.521912350597622
OG0000037	fitOUMV	0.812364380104127	40	-2.63869004597689	0.00398406374504612
OG0000038	fitOUMA	0.439187021719167	41	0.432053104004442	0.0119521912350857
OG0000039	fitOUMV	0.736337633280962	37	-2.04033430093725	0.00398406374504612
OG0000040	fitOU1	0.326986145161319	18	-3.35044487120725	0.00398406374504612
OG0000041	fitOUMV	0.591763012929783	42	-1.02288704483991	0.0199203187251253
OG0000042	fitBMS	0.545635911282394	37	-2.03675854278648	0.00398406374504612
OG0000043	fitOUMV	0.336540259337766	39	-1.63110035127548	0.0557768924303037
OG0000044	fitWhite	0.575330085944023	35	-1.63405821667334	0.494023904382483
OG0000045	fitWhite	0.432779352973945	42	-1.51904211645406	0.482071713147424
OG0000046	fitWhite	0.32341668420549	42	-0.572235222755565	0.486055776892444
NA	NA	NA	NA	NA	NA
OG0000048	fitWhite	0.682781303543589	33	-1.96765671198476	0.541832669322721
OG0000049	fitOUM	0.444531915996589	41	-2.46928890812133	0.0478087649402641
NA	NA	NA	NA	NA	NA
OG0000051	fitOUMV	0.532917801686592	38	-1.68465201184033	0.00398406374504612
OG0000052	fitWhite	0.595612013855382	39	-1.01100396772328	0.486055776892444
OG0000053	fitOUMV	0.650159360665504	41	-2.12220907678489	0.0239043824701451
OG0000054	fitWhite	0.490674700510567	41	-1.45320976366124	0.525896414342642
OG0000055	fitOUM	0.908704075034009	28	-2.68759414067283	0.00398406374504612
OG0000056	fitOUMVA	1	41	-4.27343690839622	0.027888446215165
OG0000057	fitBMS	0.743426150204089	38	-5.00744824559425	0.00398406374504612
OG0000058	fitWhite	0.497637077224696	33	-1.20255269777162	0.549800796812761
NA	NA	NA	NA	NA	NA
OG0000060	fitWhite	0.366041614123921	31	-1.11079560496159	0.509960159362563
OG0000061	fitWhite	0.424959993664613	42	-3.39163372104765	0.505976095617543
OG0000062	fitWhite	0.744314688944477	33	-1.57406567451244	0.533864541832682
OG0000063	fitOUMV	0.364210379599487	43	-0.858595238077385	0.0836653386454423
OG0000064	fitOUM	0.516004922906884	35	-3.10954631965757	0.00398406374504612
OG0000065	fitOUMV	0.932141720819311	40	-0.0328089265761493	0.00398406374504612
OG0000066	fitBMS	0.650407079444679	39	-0.0289200606796671	0.00398406374504612
OG0000067	fitWhite	0.570440064140603	36	-0.999610397845189	0.549800796812761
OG0000068	fitOUM	0.636267617549043	41	-1.17299092708355	0.0119521912350857
OG0000069	fitWhite	0.739248375805441	40	-0.921750420128433	0.533864541832682
OG0000070	fitOUMV	0.992660650079553	26	-1.78183131312207	0.0438247011952443
OG0000071	fitOU1	0.562065198032243	29	-2.16452324795883	0.0318725099601848
OG0000072	fitOUMA	0.395668090042588	28	-3.23880430547374	0.0159362549801055
OG0000073	fitOUM	0.897108330998727	33	-2.1703001478232	0.00398406374504612
OG0000074	fitOU1	0.457713245823705	40	-0.411699496396876	0.0318725099601848
NA	NA	NA	NA	NA	NA
OG0000076	fitBMS	0.971359472208181	30	-1.83343780730985	0.00398406374504612
OG0000077	fitOU1	0.560928640400102	37	-0.607521431464909	0.0119521912350857
OG0000078	fitOUMV	0.871724149781702	18	-2.55611181065018	0.677290836653395
OG0000079	fitBM1	0.450684200186145	17	-4.45314648148387	0.0199203187251253
OG0000080	fitOUMV	0.822905747394028	43	-3.26822722964957	0.00398406374504612
OG0000081	fitOUMV	0.516021199766913	41	-1.12956325689571	0.00398406374504612
OG0000082	fitOUMV	0.601373455056496	39	-0.936747567016361	0.0239043824701451
OG0000083	fitBMS	0.577755733844747	35	-2.94598394038411	0.00398406374504612
OG0000084	fitOUM	0.754855630809298	29	-0.940657062665278	0.00796812749006592
OG0000085	fitOUMV	0.641011425230068	38	-1.02810693449495	0.0119521912350857
NA	NA	NA	NA	NA	NA
OG0000087	fitWhite	0.435180036777257	40	-1.55003367804592	0.521912350597622
OG0000088	fitWhite	0.551072506809134	29	-2.07741434544351	0.56175298804782
OG0000089	fitOUMV	0.997845967685212	42	-0.395622241940493	0.0199203187251253
OG0000090	fitOUMVA	0.999999999999018	20	-1.57229416906939	0.282868525896433
OG0000091	fitOU1	0.614633820998643	36	0.24696264335499	0.0159362549801055
OG0000092	fitOU1	0.490593726596321	38	-0.313684792906513	0.0677290836653631
OG0000093	fitOUMV	0.96895489643187	25	-2.02307110437664	0.219123505976116
OG0000094	fitWhite	0.628484220419063	16	-0.899560466931317	0.553784860557781
OG0000095	fitOU1	0.7690921563049	35	-1.89108587702259	0.00398406374504612
OG0000096	fitBMS	0.640130750926344	39	-2.54413403828658	0.00796812749006592
OG0000097	fitBMS	0.852135997510986	34	-1.27846442079824	0.00398406374504612
OG0000098	fitOUM	0.606185908144562	36	-1.95991247920628	0.0438247011952443
OG0000099	fitWhite	0.612926541310195	38	-1.17906716921869	0.537848605577701
OG0000100	fitOUMV	0.941408536851572	25	-2.76141889078723	0.00398406374504612
OG0000101	fitBMS	0.903599925972286	26	-0.442338959766721	0.00398406374504612
OG0000102	fitOUM	0.523211848678206	33	-3.05558859661964	0.00398406374504612
OG0000103	fitWhite	0.492872044259722	28	-2.25318054882183	0.56573705179284
OG0000104	fitWhite	0.594741307928941	36	-0.981987148286547	0.505976095617543
NA	NA	NA	NA	NA	NA
OG0000106	fitBMS	0.553145549914008	29	-2.09467872720333	0.00398406374504612
OG0000107	fitOUMV	0.743888970640852	38	0.57064786971768	0.0836653386454423
OG0000108	fitOU1	0.457049294318412	29	-3.30448492779655	0.00796812749006592
OG0000109	fitWhite	0.746155646710664	21	0.525254083087055	0.601593625498018
OG0000110	fitOU1	0.448430923245868	36	-0.850601977437166	0.00398406374504612
OG0000111	fitWhite	0.586971321944397	38	0.534609327192547	0.533864541832682
OG0000112	fitBMS	0.676138136986643	36	-1.48161868932569	0.0119521912350857
OG0000113	fitOU1	0.442665381445928	39	-4.44697878447117	0.00398406374504612
OG0000114	fitOUMV	0.477769651875515	39	-0.942452804566276	0.0876494023904623
OG0000115	fitOUMV	0.819342006543209	36	-1.44935920746168	0.00398406374504612
OG0000116	fitOU1	0.387910965002006	28	-2.95628555357586	0.0717131474103829
OG0000117	fitOUMV	0.929705608170988	35	0.251451176438039	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000119	fitOU1	0.254726416615807	39	0.383049345119752	0.00398406374504612
OG0000120	fitOU1	0.740480093246458	32	-1.66526524785853	0.00398406374504612
NA	NA	NA	NA	NA	NA
OG0000122	fitBMS	0.584132758797481	39	-0.760728576738123	0.00398406374504612
OG0000123	fitBM1	0.567647796957478	18	-0.686561774752567	0.00796812749006592
OG0000124	fitWhite	0.44810760488436	38	-0.852808227596294	0.541832669322721
OG0000125	fitOU1	0.609260588880845	31	-1.34159169913716	0.0119521912350857
NA	NA	NA	NA	NA	NA
OG0000127	fitWhite	0.507695188516195	38	-0.480150109792463	0.529880478087662
