OG	Model	wAIC	LRT	Coeff_inter	Coeff_slope	phyCorrelation	Category	binOne	binZero
OG0000007	fitOU1	0.344431978784092	0.39851944767387	0.360258539252647	0.0561504599429573	0.0041407702633093	ovulipar	17	26
OG0000023	fitOU1	0.335183174574219	0.427233838981366	-0.124471041790992	-0.062530938749567	0.00180914244530724	ovulipar	16	26
OG0000026	fitOUM	0.429408616835042	0.231524482964793	0.347421536313077	-0.322852796642329	0.00871385149214559	ovulipar	16	26
OG0000027	fitOU1	0.40944212898864	0.260244498967834	-0.208192452158157	0.0307727780932222	0.00330841267785433	ovulipar	16	26
OG0000031	fitOUM	0.294998952198908	0.611811790169337	0.173083178605025	-0.0911927888713759	0.00277009743724932	ovulipar	17	26
OG0000038	fitOU1	0.302979001077407	0.563490856156779	0.698696622658851	-0.0433931463713378	0.0027719277701224	ovulipar	17	26
OG0000039	fitOUM	0.249443010193676	1	0.0223645610714754	0.0596186876737339	0.00379122852672053	ovulipar	16	26
OG0000041	fitOU1	0.29621744789575	0.60383616644183	0.672926800950556	-0.0339848184692349	0.00270798039248963	ovulipar	17	26
OG0000045	fitOU1	0.246813001671784	1	0.317383633670609	-0.0927437591423933	0.00882742339468284	ovulipar	17	25
OG0000052	fitBMS	0.321366098945569	0.477312098360825	-1.30876134819219	-0.170662828346277	0.00313088698111934	ovulipar	17	26
OG0000061	fitOUM	0.31413596805063	0.507947496996511	0.614178035738877	0.119980032665904	0.00831866384732559	ovulipar	17	26
OG0000063	fitOU1	0.270698550129957	0.893753205506889	0.691992060299644	0.0461066823105287	0.00371245940485859	ovulipar	17	26
OG0000065	fitOU1	0.305340348989081	0.550730531020622	0.0115953124789889	0.129220201412547	0.00343497462288423	ovulipar	17	26
OG0000066	fitBM1	0.326572189213525	0.457281526074217	0.520123016210486	-0.1302792377497	0.00845633659579228	ovulipar	17	25
OG0000074	fitOU1	0.341333507401564	0.407772634313762	0.260428112971415	0.0999968358862918	0.00459416593508379	ovulipar	17	26
OG0000076	fitOUM	0.970308463475162	0.00273922772707258	0.436136835708652	0.641489900599857	0.0117851076991948	ovulipar	16	26
OG0000080	fitBMS	0.239118286389799	1	0.282662511593681	-0.0814662960142849	0.00737240382965115	ovulipar	17	26
OG0000081	fitBMS	0.287676303049754	0.665755778561672	-2.53549134293501	0.628388028377925	0.00557573198896849	ovulipar	17	26
OG0000083	fitBM1	0.304020964408499	0.557784794095125	0.180634785851736	-0.00540296585708755	0.00173040861220887	ovulipar	17	26
OG0000087	fitOU1	0.292465874696714	0.629216851141944	0.760675706084984	-0.0396740551436828	0.00152392232172631	ovulipar	17	26
