OG	Model	wAIC	LRT	Coeff_inter	Coeff_slope	phyCorrelation	Category	binOne	binZero
OG0000007	fitOU1	0.191884886813886	1	-2.07499496702981	0.16095395899124	0.00293929433891106	vivipar	6	37
OG0000023	fitOU1	0.274540228450544	0.811978298431811	-2.63163586784255	-0.175204123954934	0.000458166161737607	vivipar	6	36
OG0000026	fitOUM	0.161476710080859	1	-2.58082064604924	-0.0062645209275919	0.00303348201051943	vivipar	6	36
OG0000027	fitOU1	0.192583967752269	1	-1.08753894447217	-0.117221571526065	0.00668984763949419	vivipar	6	36
OG0000031	fitOUM	0.236588882836128	1	-1.11982901779377	-0.0740209728993384	0.00235407457810957	vivipar	6	37
OG0000038	fitOU1	0.245372930874735	1	-2.50039656354064	-0.0218010988625597	0.00311998136214403	vivipar	6	37
OG0000039	fitOUM	0.204357608397507	1	-1.18481656136399	-0.0884065855464708	0.00339980428384451	vivipar	6	36
OG0000041	fitOU1	0.16924349204691	1	-1.15246411752606	0.10273571676975	0.00442696113823948	vivipar	6	37
OG0000045	fitOU1	0.269430408211424	0.94378990009214	-2.17826519527542	0.198044992706061	0.000311829320615928	vivipar	6	36
OG0000052	fitBMS	0.244995654486785	1	-2.70881727772449	-0.203915441668863	0.00292237138694592	vivipar	6	37
OG0000061	fitOUM	0.112641288939741	1	-2.2263146411579	-0.252596622508329	0.0095390054104638	vivipar	6	37
OG0000063	fitOU1	0.107710517125421	1	-2.08941857277039	0.195483286520323	0.00665639304191909	vivipar	6	37
OG0000065	fitOU1	0.256011029883598	1	-2.07503762045553	-0.04511888349483	0.00169926892280625	vivipar	6	37
OG0000066	fitBM1	0.260464272434423	1	-1.63416433862444	0.0117547187714803	0.00168886652534846	vivipar	6	36
OG0000074	fitOU1	0.193976145525372	1	-1.35800737557652	-0.0585569755985301	0.00384962603309282	vivipar	6	37
OG0000076	fitOUM	0.0513593749664329	1	-3.12112902808753	-0.615288705227744	0.0191664409954932	vivipar	6	36
OG0000080	fitBMS	0.243992642932883	1	-2.11895582392842	0.19453709665526	0.00207532963160295	vivipar	6	37
OG0000081	fitBMS	0.110418059378695	1	2.04610019002053	-0.747473253018778	0.00586820464328446	vivipar	6	37
OG0000083	fitBM1	0.172797485589791	1	-3.3404334097637	-0.399327908100814	0.00489754137440626	vivipar	6	37
OG0000087	fitOU1	0.261663570213036	1	-2.03953374811898	0.0336870193132689	0.00109308164333148	vivipar	6	37
OG0000089	fitOUMV	0.254351213821757	1	-2.2584264488516	-0.105948251805375	0.00262125540752034	vivipar	6	37
OG0000091	fitOUM	0.141667785966401	1	-0.666260084348039	-0.235086804523655	0.00670769086736863	vivipar	6	37
OG0000092	fitOU1	0.25194508392979	1	-1.85762306691729	0.202288799523428	0.00156661777885873	vivipar	6	37
OG0000099	fitOUM	0.0260778491558577	1	-0.640114009158353	-0.766028986473725	0.0114971065802107	vivipar	6	36
OG0000100	fitBM1	0.234903212087023	1	-1.02740898371476	0.0447008412754067	0.00289748316894133	vivipar	6	28
OG0000101	fitBM1	0.129196631087564	1	-2.84449759223003	-0.459819666948445	0.00706642383788912	vivipar	6	34
OG0000106	fitOU1	0.252429075582202	1	-1.97329823846233	-0.0242515369136513	0.00314917861901524	vivipar	6	31
OG0000110	fitBM1	0.13424413120166	1	-2.13643589844647	-0.197883576991656	0.00485580776935888	vivipar	6	37
OG0000112	fitOU1	0.203971266647851	1	-1.73043158639022	-0.134631369383539	0.00111242797921267	vivipar	6	37
OG0000117	fitOU1	0.236727375372737	1	-1.82868623235485	0.16209508597961	0.00162356335902317	vivipar	6	36
OG0000119	fitBMS	0.190553262056406	1	-1.23058585578528	-0.211872159649936	0.0026828035926852	vivipar	6	37
OG0000120	fitBMS	0.116434050102391	1	-1.62219567885214	0.218877813947481	0.00458678060370466	vivipar	6	36
OG0000124	fitBM1	0.237503258842451	1	-1.31811873394636	-0.153763931061632	0.00528817844208813	vivipar	6	37
OG0000127	fitOU1	0.26081592951963	1	-1.61040360508728	-0.00234693550298524	0.00338680555901562	vivipar	6	36
OG0000133	fitBM1	0.190402051784968	1	-2.94322312775292	-0.216346614781321	0.00281531672756176	vivipar	6	37
OG0000135	fitOU1	0.215173705620075	1	-3.51127798902055	0.180294607237486	0.0044433736510793	vivipar	6	37
OG0000139	fitOU1	0.198234882490825	1	-2.0094335101769	-0.16797602779926	0.00426697705948052	vivipar	6	34
OG0000141	fitOU1	0.223295194124737	1	-1.38035910621137	-0.0185660580526629	0.00335768106679053	vivipar	6	36
OG0000143	fitOU1	0.28148757528528	0.722815901106396	-2.77580562435788	-0.191692579290293	0.00200085704270445	vivipar	6	36
OG0000144	fitOU1	0.238397811474778	1	-1.34212818161815	-0.0168200239443753	0.00349508816524563	vivipar	6	37
OG0000147	fitOUMA	0.26496425999044	1	-1.83965808928449	0.000269244247158938	0.00173465901112201	vivipar	6	36
OG0000148	fitOU1	0.271253251850768	0.87828432996108	-1.50896577955094	0.00775879006332788	0.00116046559708233	vivipar	6	35
OG0000151	fitBMS	0.206421199022726	1	-2.95252081130083	0.228481203076906	0.00313143655180364	vivipar	6	36
OG0000153	fitOU1	0.253906026079604	1	-2.10731212742282	-0.00265571555227072	0.0023204133379769	vivipar	6	37
OG0000156	fitOUM	0.158417542173091	1	-1.37296332995427	-0.0230229802289657	0.00472018258213009	vivipar	6	36
OG0000157	fitBM1	0.0688988755614532	1	-1.67675673854669	0.334605709453445	0.0113790694261553	vivipar	6	30
OG0000160	fitOU1	0.00977970919281194	1	-1.84935572173575	-0.730297341570148	0.00827244252893812	vivipar	6	37
OG0000161	fitBM1	0.239905297684941	1	-1.33974300922379	-0.0543785334073904	0.000994164201968332	vivipar	6	34
OG0000170	fitBM1	0.24651325619807	1	-1.48316703177161	-0.118013748356549	0.000955335008876348	vivipar	6	35
OG0000173	fitOU1	0.172199700123001	1	-1.3181996621754	-0.231835876260331	0.00566268177559393	vivipar	6	36
OG0000174	fitOU1	0.258572650837037	1	-1.61367050230153	0.028647056901963	0.00223769824452005	vivipar	6	37
OG0000175	fitBMS	0.225887570514363	1	-1.11947621436168	-0.040223417502343	0.00142506809521893	vivipar	6	30
OG0000176	fitOU1	0.19226594298216	1	-1.8016417987411	-0.113916690973237	0.00351463041241389	vivipar	6	37
OG0000183	fitOU1	0.264676589223627	1	-2.17842575109915	0.216791170631441	0.0021075481395112	vivipar	6	35
OG0000184	fitBM1	0.217376396208724	1	-1.80531409146507	0.0565539360812593	0.00270682388866644	vivipar	6	35
OG0000187	fitOU1	0.232898032004532	1	-1.81041865202503	-0.152330943975617	0.00353663583744764	vivipar	6	37
OG0000192	fitOU1	0.223921490269785	1	-2.53988124004683	0.202794603038998	0.00216630749116024	vivipar	6	37
OG0000202	fitOU1	0.261568476500628	1	-2.53582315728487	0.356229641782013	0.00099722274769826	vivipar	6	37
OG0000205	fitOU1	0.2645449973914	1	-0.949626634962195	-0.331149027515228	0.00205906068050504	vivipar	6	37
OG0000206	fitOU1	0.255325888010977	1	-1.5111596818472	-0.00933914560553667	0.00130506084743445	vivipar	6	37
OG0000209	fitBM1	0.101594776475307	1	-1.88063920602646	-0.233429633968694	0.00809601211366649	vivipar	6	37
OG0000211	fitOU1	0.258217145088426	1	-1.64536513285943	-0.229658724393464	0.00153836681802174	vivipar	6	36
OG0000215	fitOUMV	0.261897416166962	1	-2.23386280941872	0.0276844620230645	0.00233537308095394	vivipar	6	36
OG0000220	fitOUM	0.217840304350424	1	-1.86352311652005	-0.228707653717731	0.00134242309971856	vivipar	6	35
OG0000222	fitBM1	0.274037720899966	0.820412753097049	-1.198044737213	0.0389163598690693	0.00126705983650709	vivipar	6	35
OG0000230	fitOU1	0.244148285193619	1	-1.56084663304544	0.106923782366966	0.00310534528423035	vivipar	6	36
OG0000232	fitOU1	0.268211828272388	1	-1.65564844311844	0.00770303343580522	0.00071439168915028	vivipar	6	36
OG0000239	fitBMS	0.167970801398449	1	-1.35634262769828	-0.0895390889046982	0.00394698478075165	vivipar	6	36
OG0000240	fitBMS	0.67976045469092	0.0611712020120374	-0.757381369099894	-0.514727452175642	0.0110056628047984	vivipar	6	31
OG0000246	fitBM1	0.25730015921651	1	-2.49506615477087	0.139711317665268	0.00288597657444668	vivipar	6	36
OG0000248	fitOU1	0.225021688581512	1	-2.5546909359096	0.222050284892224	0.00338128322833406	vivipar	6	36
OG0000250	fitOU1	0.22211682420359	1	-1.39042743118245	-0.0741572590089854	0.00199663595059962	vivipar	6	37
OG0000252	fitBMS	0.263782436228104	1	-2.42364103296751	-0.0953124452207656	0.000848045036086548	vivipar	6	34
OG0000253	fitOUM	0.183753594570924	1	-1.53274362257066	-0.0300075294099548	0.00404137282707182	vivipar	6	36
OG0000257	fitOUM	0.235950637176551	1	-2.34381809785499	-0.0728384409451096	0.0027953830308424	vivipar	6	34
OG0000262	fitOU1	0.269240792063731	0.955999448570668	-2.73743701853761	-0.107818787130761	0.000657092309494428	vivipar	6	37
OG0000264	fitBMS	0.281027759022652	0.727670402036447	-2.58618925118564	-0.243829985070876	0.00109079598230795	vivipar	6	36
OG0000272	fitOU1	0.242776318115409	1	-1.01202848794117	-0.131201643567897	0.00172449527784669	vivipar	6	35
OG0000275	fitOU1	0.220447086345146	1	-1.37818354237753	-0.0420039989416396	0.00343966652416212	vivipar	6	37
OG0000276	fitOU1	0.115625343625095	1	-1.21771838693864	-0.293219177992617	0.00772940543476611	vivipar	6	36
OG0000278	fitOUMV	0.271557142393402	0.870620386486241	-0.960680560641858	-0.000675637053919585	0.00100188181332395	vivipar	6	37
OG0000281	fitBMS	0.166588608278984	1	-2.28227819377373	-0.0803386687232405	0.00418567817053136	vivipar	6	37
OG0000283	fitOUMV	0.212094042027797	1	-2.10413581235514	-0.1039518630355	0.00327878399369422	vivipar	6	37
OG0000284	fitOU1	0.201177063958609	1	-2.56496225996525	0.154613145533864	0.00228323911216717	vivipar	6	37
OG0000286	fitOU1	0.215800546958839	1	-2.38469507319466	0.0571691185484961	0.0032894232558371	vivipar	6	35
OG0000288	fitOU1	0.206338170751418	1	-2.08892859883351	-0.233176391305013	0.00205727216942658	vivipar	6	36
OG0000292	fitOU1	0.119970887744337	1	-1.2236402864661	-0.0896640401097193	0.00509362719148448	vivipar	6	35
OG0000293	fitOUM	0.230690684974949	1	-1.91629987761651	-0.0923791605935095	0.00128688706155992	vivipar	6	36
OG0000294	fitOU1	0.206878041941748	1	-1.22475784046129	0.0436681177213138	0.0023078001664911	vivipar	6	37
OG0000300	fitBM1	0.260470678666449	1	-1.68293114537292	0.00280508419936135	0.0010874255396098	vivipar	6	33
OG0000302	fitOUMA	0.278250422614195	0.759541763280955	-1.36845004871538	-0.00787605825067588	0.0017328452100443	vivipar	6	33
OG0000305	fitBMS	0.186865027747337	1	-2.63596831315535	-0.0536641849611108	0.0028341320431752	vivipar	6	36
OG0000316	fitBMS	0.247784418351609	1	-2.48021773684401	0.179226571089258	0.00187814530285711	vivipar	6	37
OG0000317	fitBM1	0.214004226087587	1	-2.75663659982594	-0.204657460815672	0.00232705350145875	vivipar	6	35
OG0000323	fitOUMVA	0.188598590211412	1	-1.57351888502187	0.108207962569049	0.00265310453894865	vivipar	6	36
OG0000327	fitOU1	0.271494003062754	0.872173197797876	-2.18807542148058	0.24543491325434	0.000764474898639778	vivipar	6	35
OG0000328	fitBMS	0.180012961269265	1	-1.20817787523095	-0.0845058372645869	0.0048848726273058	vivipar	6	35
OG0000333	fitBMS	0.177007599233201	1	-2.01915043774375	-0.0443272691227059	0.00346163331458549	vivipar	6	37
OG0000337	fitBM1	0.204058081868407	1	-2.06167350023242	-0.0177104664248525	0.00481561109377732	vivipar	6	29
OG0000340	fitBM1	0.279523194893439	0.74434533506469	-3.11853592134355	0.036823553749081	0.000966718126388308	vivipar	6	36
OG0000341	fitBM1	0.26142620759789	1	-2.33287820186205	0.0789433248106416	0.000744474061638819	vivipar	6	36
OG0000346	fitBMS	0.17022857335004	1	-1.80598706102434	-0.168966430034416	0.00998893816052561	vivipar	6	37
OG0000348	fitOUM	0.164781656579503	1	-2.78029906370027	0.292285974365151	0.00684750635749797	vivipar	6	33
OG0000352	fitOU1	0.221142225826093	1	-3.19020337637002	0.125970367912353	0.0058929275759061	vivipar	6	37
