OG	Model	wAIC	LRT	Coeff_inter	Coeff_slope	phyCorrelation	Category	binOne	binZero
OG0000000	fitBMS	0.262111493926516	1	0.187951590285088	-0.0432743822108578	0.00286239522574895	ovulipar	14	11
OG0000004	fitOUMV	0.269282016926347	0.953071989328831	-0.47556491572415	-0.0416813788995899	0.00515938771659924	ovulipar	15	24
OG0000011	fitBMS	0.357035361818185	0.364161684562868	-0.159457943547669	-0.00845409872961996	0.00122169502543182	ovulipar	11	21
OG0000012	fitBMS	0.292876321081866	0.626316074531601	-0.237412272977027	-0.0430158412265871	0.00376103637767092	ovulipar	14	23
OG0000013	fitBMS	0.264526828506064	1	-0.160512362514202	-0.0422179562845847	0.00446241813728766	ovulipar	13	23
OG0000014	fitOU1	0.285622426068886	0.683224892856571	0.14552364695856	-0.0339591482700634	0.00309948328379431	ovulipar	15	17
OG0000015	fitOUMV	0.304079861971747	0.557465876674073	0.210162143511587	-0.0145915911374301	0.00412251029440253	ovulipar	16	25
OG0000016	fitBMS	0.238873886379051	1	0.702744126900867	0.0354588160067722	0.00584543770622661	ovulipar	15	17
OG0000019	fitOUM	0.231855398921278	1	0.0517580140729695	-0.0898795183699618	0.00563043397692567	ovulipar	13	22
OG0000030	fitOU1	0.419780678936224	0.244814951897158	-0.205118585248222	0.00534405365248344	0.00188124292667333	ovulipar	13	22
OG0000032	fitBMS	0.299491668584103	0.58353113789467	-0.623341375486005	-0.054355592042929	0.00970932678735675	ovulipar	11	19
OG0000034	fitOUMV	0.333213925193306	0.433798957472417	-0.0584784036884722	-0.0250182541271287	0.0024936101774754	ovulipar	13	22
OG0000035	fitOUMV	0.375508493533093	0.321536396607817	-0.184319456027269	-0.00595397352910476	0.00110349898025169	ovulipar	15	18
OG0000037	fitOUMV	0.287917689742928	0.663781725184486	0.996845259865878	0.134157865001027	0.00771827665298877	ovulipar	16	23
OG0000039	fitOUMV	0.312824186767764	0.513907709205139	0.399829058369962	-0.0639106690994846	0.0012425155458698	ovulipar	11	25
