OG	Model	wAIC	LRT	Coeff_inter	Coeff_slope	phyCorrelation	Category	binOne	binZero
OG0000000	fitBMS	0.351539519690049	0.378538727348581	-1.16439822046422	0.214188009511753	0.00435456986689256	vivipar	2	23
OG0000004	fitOUMV	0.00435068528213575	1	-4.20234089159461	0.195035303617699	0.000823063196460859	vivipar	5	34
OG0000011	fitBMS	0.000954998973679787	1	-3.22928359196469	0.261309123225215	0.00199863331659962	vivipar	3	29
OG0000012	fitBMS	0.281507246933615	0.722610543357021	-2.66320840204007	0.0257687604984645	0.00172731815131751	vivipar	6	31
OG0000013	fitBMS	0.220876303482709	1	-1.9985349115444	0.108038333526269	0.00503150522127742	vivipar	6	30
OG0000014	fitOU1	0.229355534126752	1	-2.20203803822267	0.025120838094625	0.00221110207259406	vivipar	2	30
OG0000015	fitOUMV	0.256193614878829	1	-2.87503736606874	-0.0779148037256302	0.00246634499379636	vivipar	6	35
OG0000016	fitBMS	0.276210484836675	0.7865554940998	-1.62348947648604	-0.00856582850577508	0.000833135487867195	vivipar	5	27
OG0000019	fitOUM	0.363919726290437	0.347322058996602	-2.37669315368269	0.429783667322542	0.00552600875749506	vivipar	4	31
OG0000030	fitOU1	0.290620355798906	0.642680252667337	-2.98588162103773	0.11220067047142	0.00145631910608422	vivipar	3	32
OG0000032	fitBMS	0.285927835857218	0.680546889340183	-3.03735728037462	0.199642968148537	0.00143664900948153	vivipar	4	26
OG0000034	fitOUMV	0.876838215853861	0.0149220549423685	-2.60563911365293	0.464721270739707	0.0200097416617859	vivipar	4	31
OG0000035	fitOUMV	0.273485306775522	0.830215103500925	-1.23326242630861	0.0152422933126589	0.000972716546288097	vivipar	6	27
OG0000037	fitOUMV	0.285886333213305	0.680909076792737	-3.32572255020147	0.226161858108269	0.000689699791966236	vivipar	5	34
OG0000039	fitOUMV	0.270535552008235	0.898763637620751	-2.69038906853361	-0.258490730144813	0.000179651831231132	vivipar	6	30
OG0000041	fitOUMV	0.272943457179329	0.84046570336752	-1.39606437820882	0.0150761708495426	0.00167173336730873	vivipar	6	35
OG0000042	fitBMS	0.258672546830851	1	-1.2524100747677	-0.0632441154449326	0.00105714440135371	vivipar	5	32
OG0000051	fitOUMV	0.00309568642108481	1	-3.80945245012934	0.243730178387995	0.000863314707849162	vivipar	5	32
OG0000053	fitOUMV	0.231818708895338	1	-2.66215321633828	-0.104543427119407	0.00214142180953773	vivipar	6	34
OG0000055	fitOUM	0.939604899458271	0.0062073470188782	-2.58503936821078	0.493429663953866	0.0100430724233231	vivipar	2	26
OG0000056	fitOUMVA	0.182072958235918	1	-0.747459940425122	0.11706368112369	0.00650028617304333	vivipar	6	34
OG0000057	fitBMS	0.0218683987434719	1	0.877664987384128	0.299395608137069	0.0143839661030069	vivipar	5	32
OG0000064	fitOUM	0.0422828250087838	1	-0.832173025860546	0.392086607198612	0.0125520636126846	vivipar	5	29
OG0000065	fitOUMV	0.271967974216148	0.860959449276911	-2.79949647715356	-0.111275976656486	0.0015049446372448	vivipar	6	33
OG0000066	fitBMS	0.286013668480594	0.679799548815754	-2.55816257517506	0.337756460214256	0.00405479254165223	vivipar	5	33
