#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"Un","PYGN01000060.1",855462,855726,"+",,,"C0J52_04795","PSN55746.1",80,"hypothetical protein C0J52_04795"
"Un","PYGN01000060.1",855462,855674,"+",,,"C0J52_04795","PSN55748.1",56,"hypothetical protein C0J52_04795"
"Un","PYGN01000060.1",1071059,1102742,"+",,,"C0J52_04796","PSN55745.1",199,"hypothetical protein C0J52_04796"
"Un","PYGN01000060.1",1125751,1155205,"+",,,"C0J52_04797","PSN55744.1",529,"hypothetical protein C0J52_04797"
"Un","PYGN01000060.1",1160103,1190933,"+",,,"C0J52_04798","PSN55752.1",758,"hypothetical protein C0J52_04798"
"Un","PYGN01000060.1",1205303,1221068,"+",,,"C0J52_04799","PSN55751.1",912,"hypothetical protein C0J52_04799, partial"
"Un","PYGN01000060.1",1237331,1316816,"+",,,"C0J52_04800","PSN55732.1",3550,"hypothetical protein C0J52_04800"
"Un","PYGN01000060.1",1342653,1350651,"-",,,"C0J52_04801","PSN55731.1",348,"hypothetical protein C0J52_04801"
"Un","PYGN01000060.1",1362147,1364261,"+",,,"C0J52_04802","PSN55730.1",704,"hypothetical protein C0J52_04802"
"Un","PYGN01000060.1",1365981,1386334,"-",,,"C0J52_04803","PSN55729.1",229,"hypothetical protein C0J52_04803"
"Un","PYGN01000060.1",1441879,1442223,"+",,,"C0J52_04804","PSN55736.1",114,"hypothetical protein C0J52_04804"
"Un","PYGN01000060.1",1442020,1442223,"+",,,"C0J52_04804","PSN55737.1",67,"hypothetical protein C0J52_04804"
"Un","PYGN01000060.1",1463296,1475259,"-",,"BBS1","C0J52_04805","PSN55735.1",386,"Bardet-Biedl syndrome 1 protein"
"Un","PYGN01000060.1",1489638,1490548,"-",,,"C0J52_04806","PSN55734.1",118,"hypothetical protein C0J52_04806"
"Un","PYGN01000060.1",1502865,1503092,"-",,,"C0J52_04807","PSN55733.1",75,"hypothetical protein C0J52_04807"
"Un","PYGN01000060.1",1575482,1591962,"-",,"CA3","C0J52_04808","PSN55739.1",229,"Carbonic anhydrase 3"
"Un","PYGN01000060.1",1602690,1603253,"+",,,"C0J52_04809","PSN55738.1",120,"hypothetical protein C0J52_04809, partial"
"Un","PYGN01000060.1",1615633,1617974,"+",,"CA1","C0J52_04810","PSN55759.1",128,"Carbonic anhydrase 1"
"Un","PYGN01000060.1",1628549,1662021,"-",,,"C0J52_04811","PSN55760.1",366,"hypothetical protein C0J52_04811"
"Un","PYGN01000060.1",1647911,1648216,"+",,"F52C9.6_13","C0J52_04812","PSN55761.1",101,"putative uncharacterized transposon-derived protein F52C9.6"
"Un","PYGN01000060.1",1755725,1756369,"-",,,"C0J52_04813","PSN55762.1",214,"hypothetical protein C0J52_04813"
"Un","PYGN01000060.1",1766282,1777477,"-",,,"C0J52_04814","PSN55755.1",418,"hypothetical protein C0J52_04814"
"Un","PYGN01000060.1",1795000,1798910,"-",,,"C0J52_04815","PSN55756.1",359,"hypothetical protein C0J52_04815, partial"
"Un","PYGN01000060.1",1807486,1807698,"+",,,"C0J52_04816","PSN55757.1",70,"hypothetical protein C0J52_04816, partial"
"Un","PYGN01000060.1",1827294,1827509,"-",,,"C0J52_04817","PSN55758.1",71,"hypothetical protein C0J52_04817"
"Un","PYGN01000060.1",1830268,1833803,"-",,,"C0J52_04818","PSN55753.1",405,"hypothetical protein C0J52_04818, partial"
"Un","PYGN01000060.1",2053977,2063071,"-",,,"C0J52_04819","PSN55754.1",123,"hypothetical protein C0J52_04819, partial"
"Un","PYGN01000061.1",104261,104689,"-",,,"C0J52_08997","PSN55704.1",142,"hypothetical protein C0J52_08997"
"Un","PYGN01000061.1",105212,116043,"-",,,"C0J52_08998","PSN55706.1",117,"hypothetical protein C0J52_08998"
"Un","PYGN01000061.1",725018,726475,"-",,,"C0J52_08999","PSN55705.1",112,"hypothetical protein C0J52_08999"
"Un","PYGN01000061.1",944385,1003663,"+",,"Lrp2","C0J52_09000","PSN55713.1",3912,"Low-density lipoprotein receptor-related protein 2"
"Un","PYGN01000061.1",1036101,1059835,"+",,"gpt2","C0J52_09001","PSN55714.1",318,"Alanine aminotransferase 2"
"Un","PYGN01000061.1",1092991,1094894,"-",,,"C0J52_09002","PSN55715.1",419,"hypothetical protein C0J52_09002"
"Un","PYGN01000061.1",1093045,1093481,"+",,,"C0J52_09003","PSN55716.1",113,"hypothetical protein C0J52_09003"
"Un","PYGN01000061.1",1147847,1149736,"-",,,"C0J52_09004","PSN55717.1",629,"hypothetical protein C0J52_09004"
"Un","PYGN01000061.1",1162741,1164480,"-",,,"C0J52_28493","PSN55724.1",550,"hypothetical protein C0J52_28493"
"Un","PYGN01000061.1",1169678,1171498,"-",,,"C0J52_28494","PSN55727.1",606,"hypothetical protein C0J52_28494"
"Un","PYGN01000061.1",1177513,1179384,"-",,,"C0J52_28495","PSN55728.1",623,"hypothetical protein C0J52_28495"
"Un","PYGN01000061.1",1184152,1185438,"-",,,"C0J52_28496","PSN55725.1",428,"hypothetical protein C0J52_28496"
